Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,ms3_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.2127016129032238], [3.9546370967741913, 52.14818548387096, 50.98689516129032, 1.6320564516129012]], 'ys': [[5.351199127906975, 5.022710755813952, 55.28143168604651, 54.295966569767444], [58.23782703488372, 58.89480377906977, 110.1389898255814, 109.15352470930233]]}",non_roi,FALSE,0,"(0, 1800)",0.245419212,0.720710716,674.8875798,105.3328906
3,ms3_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.2127016129032238], [3.9546370967741913, 52.14818548387096, 50.98689516129032, 1.6320564516129012]], 'ys': [[5.351199127906975, 5.022710755813952, 55.28143168604651, 54.295966569767444], [58.23782703488372, 58.89480377906977, 110.1389898255814, 109.15352470930233]]}",non_roi,FALSE,1,"(1800, 3600)",0.107717934,0.852304275,563.0634052,87.87996374
3,ms3_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.2127016129032238], [3.9546370967741913, 52.14818548387096, 50.98689516129032, 1.6320564516129012]], 'ys': [[5.351199127906975, 5.022710755813952, 55.28143168604651, 54.295966569767444], [58.23782703488372, 58.89480377906977, 110.1389898255814, 109.15352470930233]]}",non_roi,FALSE,2,"(3600, 5400)",0.106052193,0.88950583,502.152542,78.37331778
3,ms3_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.2127016129032238], [3.9546370967741913, 52.14818548387096, 50.98689516129032, 1.6320564516129012]], 'ys': [[5.351199127906975, 5.022710755813952, 55.28143168604651, 54.295966569767444], [58.23782703488372, 58.89480377906977, 110.1389898255814, 109.15352470930233]]}",non_roi,FALSE,3,"(5400, 7200)",0.419766796,0.574125486,464.0115968,72.4204804
3,ms3_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.2127016129032238], [3.9546370967741913, 52.14818548387096, 50.98689516129032, 1.6320564516129012]], 'ys': [[5.351199127906975, 5.022710755813952, 55.28143168604651, 54.295966569767444], [58.23782703488372, 58.89480377906977, 110.1389898255814, 109.15352470930233]]}",light,TRUE,4,"(7200, 9000)",0,1,271.4363783,42.36435695
4,ms4_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[1.5819909793814428, 53.74693943298969, 52.612918814432994, 1.5819909793814428], [1.5819909793814428, 52.04590850515464, 51.47889819587629, 1.0149806701030923]], 'ys': [[3.0719866071428656, 4.0630580357142945, 52.295200892857146, 52.95591517857144], [56.920200892857146, 58.24162946428572, 107.79520089285714, 107.46484375]]}",dark,FALSE,0,"(0, 1800)",0.387007218,0.549694614,651.5913242,102.1232986
4,ms4_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[1.5819909793814428, 53.74693943298969, 52.612918814432994, 1.5819909793814428], [1.5819909793814428, 52.04590850515464, 51.47889819587629, 1.0149806701030923]], 'ys': [[3.0719866071428656, 4.0630580357142945, 52.295200892857146, 52.95591517857144], [56.920200892857146, 58.24162946428572, 107.79520089285714, 107.46484375]]}",dark,FALSE,1,"(1800, 3600)",0.334258745,0.651304831,575.233177,90.15575766
4,ms4_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[1.5819909793814428, 53.74693943298969, 52.612918814432994, 1.5819909793814428], [1.5819909793814428, 52.04590850515464, 51.47889819587629, 1.0149806701030923]], 'ys': [[3.0719866071428656, 4.0630580357142945, 52.295200892857146, 52.95591517857144], [56.920200892857146, 58.24162946428572, 107.79520089285714, 107.46484375]]}",dark,FALSE,2,"(3600, 5400)",0.14103276,0.772903942,489.0845776,76.65376828
4,ms4_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[1.5819909793814428, 53.74693943298969, 52.612918814432994, 1.5819909793814428], [1.5819909793814428, 52.04590850515464, 51.47889819587629, 1.0149806701030923]], 'ys': [[3.0719866071428656, 4.0630580357142945, 52.295200892857146, 52.95591517857144], [56.920200892857146, 58.24162946428572, 107.79520089285714, 107.46484375]]}",dark,FALSE,3,"(5400, 7200)",0.051082732,0.938922821,450.0702183,70.53908425
4,ms4_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[1.5819909793814428, 53.74693943298969, 52.612918814432994, 1.5819909793814428], [1.5819909793814428, 52.04590850515464, 51.47889819587629, 1.0149806701030923]], 'ys': [[3.0719866071428656, 4.0630580357142945, 52.295200892857146, 52.95591517857144], [56.920200892857146, 58.24162946428572, 107.79520089285714, 107.46484375]]}",dark,FALSE,4,"(7200, 9000)",0.545252637,0.430871738,438.6987891,68.75685079
