Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
32,201215_SEFL20_Atoneshock_g2,4,A_training,shock,,shock_1,0,974.62
32,201215_SEFL20_Atoneshock_g2,4,A_training,shock,,shock_2,0,625.52
32,201215_SEFL20_Atoneshock_g2,4,A_training,shock,,shock_3,0,958.25
33,201215_SEFL20_Atoneshock_g5,2,A_training,bl,,bl,10.28,93.35
33,201215_SEFL20_Atoneshock_g5,2,A_training,cs,,cs_1,28,97.92
33,201215_SEFL20_Atoneshock_g5,2,A_training,cs,,cs_2,68.33,83.58
33,201215_SEFL20_Atoneshock_g5,2,A_training,cs,,cs_3,73.22,115.56
33,201215_SEFL20_Atoneshock_g5,2,A_training,postcs,,postcs_1,8.23,148
33,201215_SEFL20_Atoneshock_g5,2,A_training,postcs,,postcs_2,10.58,133.43
33,201215_SEFL20_Atoneshock_g5,2,A_training,postcs,,postcs_3,30.18,86.66
33,201215_SEFL20_Atoneshock_g5,2,A_training,shock,,shock_1,0,785.5
33,201215_SEFL20_Atoneshock_g5,2,A_training,shock,,shock_2,0,705.42
33,201215_SEFL20_Atoneshock_g5,2,A_training,shock,,shock_3,0,721.27
34,201215_SEFL20_Atoneshock_g5,3,A_training,bl,,bl,0.48,205.06
34,201215_SEFL20_Atoneshock_g5,3,A_training,cs,,cs_1,0,185.52
34,201215_SEFL20_Atoneshock_g5,3,A_training,cs,,cs_2,56.56,123.24
34,201215_SEFL20_Atoneshock_g5,3,A_training,cs,,cs_3,61.33,138.79
34,201215_SEFL20_Atoneshock_g5,3,A_training,postcs,,postcs_1,0.4,193.92
34,201215_SEFL20_Atoneshock_g5,3,A_training,postcs,,postcs_2,3.81,146.04
34,201215_SEFL20_Atoneshock_g5,3,A_training,postcs,,postcs_3,11.04,135.18
34,201215_SEFL20_Atoneshock_g5,3,A_training,shock,,shock_1,0,986.83
34,201215_SEFL20_Atoneshock_g5,3,A_training,shock,,shock_2,0,604.03
34,201215_SEFL20_Atoneshock_g5,3,A_training,shock,,shock_3,0,917.63
36,201215_SEFL20_Atoneshock_g5,4,A_training,bl,,bl,1.02,183.35
36,201215_SEFL20_Atoneshock_g5,4,A_training,cs,,cs_1,3.78,207.31
36,201215_SEFL20_Atoneshock_g5,4,A_training,cs,,cs_2,29.89,128.41
36,201215_SEFL20_Atoneshock_g5,4,A_training,cs,,cs_3,50.78,91.19
36,201215_SEFL20_Atoneshock_g5,4,A_training,postcs,,postcs_1,5.57,144.35
36,201215_SEFL20_Atoneshock_g5,4,A_training,postcs,,postcs_2,12.36,111.97
36,201215_SEFL20_Atoneshock_g5,4,A_training,postcs,,postcs_3,17.49,98.7
36,201215_SEFL20_Atoneshock_g5,4,A_training,shock,,shock_1,0,1104
36,201215_SEFL20_Atoneshock_g5,4,A_training,shock,,shock_2,0,929.75
36,201215_SEFL20_Atoneshock_g5,4,A_training,shock,,shock_3,0,1062.22
