Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.5489510489510514, 106.97552447552448, 103.92657342657343, 1.786713286713289], [1.786713286713289, 103.92657342657343, 103.92657342657343, 1.786713286713289]], 'ys': [[1.3466104118993205, 1.8431779176201444, 108.60519164759725, 109.10175915331808], [109.10175915331808, 108.60519164759725, 214.87063787185355, 214.87063787185355]]}",dark,FALSE,0,"(0, 1800)",0.238756247,0.769017213,1535.239344,151.990728
3,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.5489510489510514, 106.97552447552448, 103.92657342657343, 1.786713286713289], [1.786713286713289, 103.92657342657343, 103.92657342657343, 1.786713286713289]], 'ys': [[1.3466104118993205, 1.8431779176201444, 108.60519164759725, 109.10175915331808], [109.10175915331808, 108.60519164759725, 214.87063787185355, 214.87063787185355]]}",dark,FALSE,1,"(1800, 3600)",0.310938368,0.692393115,1334.831901,132.1501257
3,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.5489510489510514, 106.97552447552448, 103.92657342657343, 1.786713286713289], [1.786713286713289, 103.92657342657343, 103.92657342657343, 1.786713286713289]], 'ys': [[1.3466104118993205, 1.8431779176201444, 108.60519164759725, 109.10175915331808], [109.10175915331808, 108.60519164759725, 214.87063787185355, 214.87063787185355]]}",dark,FALSE,2,"(3600, 5400)",0.120488617,0.88006663,754.1740111,74.66422573
3,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.5489510489510514, 106.97552447552448, 103.92657342657343, 1.786713286713289], [1.786713286713289, 103.92657342657343, 103.92657342657343, 1.786713286713289]], 'ys': [[1.3466104118993205, 1.8431779176201444, 108.60519164759725, 109.10175915331808], [109.10175915331808, 108.60519164759725, 214.87063787185355, 214.87063787185355]]}",dark,FALSE,3,"(5400, 7200)",0.148806219,0.855080511,1137.916777,112.6552676
3,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.5489510489510514, 106.97552447552448, 103.92657342657343, 1.786713286713289], [1.786713286713289, 103.92657342657343, 103.92657342657343, 1.786713286713289]], 'ys': [[1.3466104118993205, 1.8431779176201444, 108.60519164759725, 109.10175915331808], [109.10175915331808, 108.60519164759725, 214.87063787185355, 214.87063787185355]]}",dark,FALSE,4,"(7200, 9000)",0.304275403,0.697390339,1006.214197,99.61653788
4,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.8684210526315794, 102.13157894736842, 101.3421052631579, 2.6578947368421058], [2.6578947368421058, 101.3421052631579, 102.92105263157896, 1.8684210526315794]], 'ys': [[0.8530815972222453, 1.3507667824074305, 109.34845196759261, 107.35771122685186], [107.35771122685186, 109.34845196759261, 214.36002604166666, 212.36928530092592]]}",dark,FALSE,0,"(0, 1800)",0.448639645,0.560244309,1539.412816,155.1143337
4,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.8684210526315794, 102.13157894736842, 101.3421052631579, 2.6578947368421058], [2.6578947368421058, 101.3421052631579, 102.92105263157896, 1.8684210526315794]], 'ys': [[0.8530815972222453, 1.3507667824074305, 109.34845196759261, 107.35771122685186], [107.35771122685186, 109.34845196759261, 214.36002604166666, 212.36928530092592]]}",dark,FALSE,1,"(1800, 3600)",0.237645752,0.766796224,1295.46726,130.5338886
4,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.8684210526315794, 102.13157894736842, 101.3421052631579, 2.6578947368421058], [2.6578947368421058, 101.3421052631579, 102.92105263157896, 1.8684210526315794]], 'ys': [[0.8530815972222453, 1.3507667824074305, 109.34845196759261, 107.35771122685186], [107.35771122685186, 109.34845196759261, 214.36002604166666, 212.36928530092592]]}",dark,FALSE,2,"(3600, 5400)",0.202109939,0.808439756,1174.816516,118.3768767
4,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.8684210526315794, 102.13157894736842, 101.3421052631579, 2.6578947368421058], [2.6578947368421058, 101.3421052631579, 102.92105263157896, 1.8684210526315794]], 'ys': [[0.8530815972222453, 1.3507667824074305, 109.34845196759261, 107.35771122685186], [107.35771122685186, 109.34845196759261, 214.36002604166666, 212.36928530092592]]}",dark,FALSE,3,"(5400, 7200)",0.382009994,0.617990006,1325.453258,133.555338
4,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.8684210526315794, 102.13157894736842, 101.3421052631579, 2.6578947368421058], [2.6578947368421058, 101.3421052631579, 102.92105263157896, 1.8684210526315794]], 'ys': [[0.8530815972222453, 1.3507667824074305, 109.34845196759261, 107.35771122685186], [107.35771122685186, 109.34845196759261, 214.36002604166666, 212.36928530092592]]}",dark,FALSE,4,"(7200, 9000)",0.075513604,0.925596891,976.4758323,98.39167023
5,05_06_07_08_SEFL1C_2023-09-18 09-07-06.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.3111888111888135, 105.45104895104896, 104.68881118881119, 1.786713286713289], [1.786713286713289, 104.68881118881119, 105.45104895104896, 1.786713286713289]], 'ys': [[1.8431779176201444, 1.3466104118993205, 109.5983266590389, 108.10862414187643], [108.10862414187643, 109.5983266590389, 215.36720537757438, 214.3740703661327]]}",dark,FALSE,0,"(0, 1800)",0.361465852,0.642976124,1275.61269,128.3829197
