Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),c1,c2,o1,2,ctr,Distance_px,Distance_in
31,SEFL_1C_EPM_31_2023-09-26 17-14-56.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",ctr,FALSE,0,"(0, 1800)",0.226540811,0.456968351,0.220433093,0,0.09716824,1829.287701,263.5723136
32,SEFL_1C_EPM_32_2023-09-26 17-21-09.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c1,FALSE,0,"(0, 1800)",0.103275958,0.222654081,0.228206552,0.313714603,0.13714603,1847.769396,266.2352425
33,SEFL_1C_EPM_33_2023-09-26 17-27-25.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.326485286,0.395891172,0.041088284,0.047196002,0.216546363,1955.621308,281.7750496
34,SEFL_1C_EPM_34_2023-09-26 17-33-42.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.335924486,0.20377568,0.1143809,0.166018878,0.216546363,1464.577109,211.0231085
35,SEFL_1C_EPM_35_2023-09-26 17-39-58.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c1,FALSE,0,"(0, 1800)",0.328706274,0.400333148,0.046085508,0.088284287,0.155469184,1668.884564,240.4606806
36,SEFL_1C_EPM_36_2023-09-26 17-46-22.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.326485286,0.470849528,0,0.029983343,0.193225986,1705.786019,245.7776146
37,SEFL_1C_EPM_37_2023-09-26 17-52-39.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.135480289,0.269850083,0.254858412,0.11993337,0.23042754,1333.311598,192.1097607
38,SEFL_1C_EPM_38_2023-09-26 17-58-58.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c1,FALSE,0,"(0, 1800)",0.228761799,0.602998334,0,0.051637979,0.136590783,1618.219201,233.1605786
39,SEFL_1C_EPM_39_2023-09-26 18-04-58.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.142143254,0.755136036,0,0.04386452,0.061632426,1180.053636,170.027638
40,SEFL_1C_EPM_40_2023-09-26 18-11-38.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.13714603,0.413659078,0.088284287,0.179344808,0.213770128,1325.596951,190.9981984
