Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[4.904255319148935, 123.12234042553192, 125.14893617021276, 2.8776595744680837], [2.8776595744680837, 125.14893617021276, 123.12234042553192, 1.5265957446808496]], 'ys': [[4.337383177570094, 5.772897196261682, 128.74859813084112, 128.27009345794391], [128.27009345794391, 128.74859813084112, 252.68130841121496, 252.68130841121496]]}",dark,FALSE,2,"(3600, 5400)",0.15435869,0.850083287,1158.900754,101.2980861
3,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[4.904255319148935, 123.12234042553192, 125.14893617021276, 2.8776595744680837], [2.8776595744680837, 125.14893617021276, 123.12234042553192, 1.5265957446808496]], 'ys': [[4.337383177570094, 5.772897196261682, 128.74859813084112, 128.27009345794391], [128.27009345794391, 128.74859813084112, 252.68130841121496, 252.68130841121496]]}",dark,FALSE,3,"(5400, 7200)",0.197667962,0.802887285,1159.937139,101.3886752
3,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[4.904255319148935, 123.12234042553192, 125.14893617021276, 2.8776595744680837], [2.8776595744680837, 125.14893617021276, 123.12234042553192, 1.5265957446808496]], 'ys': [[4.337383177570094, 5.772897196261682, 128.74859813084112, 128.27009345794391], [128.27009345794391, 128.74859813084112, 252.68130841121496, 252.68130841121496]]}",dark,FALSE,4,"(7200, 9000)",0.302777778,0.697222222,974.6427243,85.19231889
4,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.5552486187845325, 122.12983425414365, 121.44475138121547, 4.295580110497239], [4.295580110497239, 121.44475138121547, 121.44475138121547, 0.8701657458563556]], 'ys': [[2.907134433962269, 3.386379716981137, 130.38637971698114, 128.94864386792455], [128.94864386792455, 130.38637971698114, 252.11468160377362, 249.71845518867926]]}",dark,FALSE,0,"(0, 1800)",0.312048862,0.702387562,1603.230519,140.7909478
4,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.5552486187845325, 122.12983425414365, 121.44475138121547, 4.295580110497239], [4.295580110497239, 121.44475138121547, 121.44475138121547, 0.8701657458563556]], 'ys': [[2.907134433962269, 3.386379716981137, 130.38637971698114, 128.94864386792455], [128.94864386792455, 130.38637971698114, 252.11468160377362, 249.71845518867926]]}",dark,FALSE,1,"(1800, 3600)",0.278734037,0.721265963,1229.985983,108.0137199
4,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.5552486187845325, 122.12983425414365, 121.44475138121547, 4.295580110497239], [4.295580110497239, 121.44475138121547, 121.44475138121547, 0.8701657458563556]], 'ys': [[2.907134433962269, 3.386379716981137, 130.38637971698114, 128.94864386792455], [128.94864386792455, 130.38637971698114, 252.11468160377362, 249.71845518867926]]}",dark,FALSE,2,"(3600, 5400)",0.292059967,0.70849528,1129.934105,99.22746082
4,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.5552486187845325, 122.12983425414365, 121.44475138121547, 4.295580110497239], [4.295580110497239, 121.44475138121547, 121.44475138121547, 0.8701657458563556]], 'ys': [[2.907134433962269, 3.386379716981137, 130.38637971698114, 128.94864386792455], [128.94864386792455, 130.38637971698114, 252.11468160377362, 249.71845518867926]]}",dark,FALSE,3,"(5400, 7200)",0,1,702.6680847,61.70622653
4,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.5552486187845325, 122.12983425414365, 121.44475138121547, 4.295580110497239], [4.295580110497239, 121.44475138121547, 121.44475138121547, 0.8701657458563556]], 'ys': [[2.907134433962269, 3.386379716981137, 130.38637971698114, 128.94864386792455], [128.94864386792455, 130.38637971698114, 252.11468160377362, 249.71845518867926]]}",dark,FALSE,4,"(7200, 9000)",0.012222222,0.988333333,648.720586,56.96871724
5,10g3_05_06_07_08_2023-10-17 09-28-39.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",light,FALSE,0,"(0, 1800)",0.386451971,0.615769017,2081.4855,179.6532922
5,10g3_05_06_07_08_2023-10-17 09-28-39.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",light,FALSE,1,"(1800, 3600)",0.333703498,0.66851749,2030.209537,175.227657
