Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),c1,c2,o1,2,ctr,Distance_px,Distance_in
23,3,SEFL_10K6B_EPM_23_2023-10-01 13-48-37.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",2,FALSE,0,"(0, 1800)",0.654636313,0,0.039422543,0.106052193,0.189894503,2778.278335,267.5912518
23,3,SEFL_10K6B_EPM_23_2023-10-01 13-48-37.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",2,FALSE,1,"(1800, 3600)",0.4952804,0.39811216,0,0,0.108273182,2792.154989,268.9277886
23,3,SEFL_10K6B_EPM_23_2023-10-01 13-48-37.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",2,FALSE,2,"(3600, 5400)",0.342587451,0.160466408,0,0.076068851,0.394780677,2349.197222,226.2640922
23,3,SEFL_10K6B_EPM_23_2023-10-01 13-48-37.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",2,FALSE,3,"(5400, 7200)",0,0.996668517,0,0,0.004997224,2728.203356,262.7682554
23,3,SEFL_10K6B_EPM_23_2023-10-01 13-48-37.mkv,98,TRUE,0.1,50,1050,"{'xs': [[139.2518573551263, 175.97845468053492, 178.84026745913818, 137.34398216939078], [136.8670133729569, 175.97845468053492, 172.63967310549776, 140.20579494799406], [1.8848439821693899, 137.34398216939078, 136.8670133729569, 1.4078751857355116], [178.84026745913818, 319.06909361069836, 319.06909361069836, 175.97845468053492], [175.97845468053492, 178.84026745913818, 137.34398216939078, 136.8670133729569]], 'ys': [[1.6711627492877115, 1.6711627492877115, 148.447516025641, 147.52728810541308], [177.89480947293444, 177.89480947293444, 322.37059294871796, 321.910478988604], [148.447516025641, 147.52728810541308, 177.89480947293444, 177.89480947293444], [148.447516025641, 148.90762998575497, 177.89480947293444, 177.89480947293444], [177.89480947293444, 148.447516025641, 147.52728810541308, 177.89480947293444]]}",2,FALSE,4,"(7200, 9000)",0.653333333,0.262222222,0,0,0.091111111,2773.484534,267.1295345
23,6,SEFL_10K6b_EPM6_23_2023-10-06 11-17-03.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,0,"(0, 1800)",0,0.991116047,0,0,0.009994448,2845.992549,273.8082238
23,6,SEFL_10K6b_EPM6_23_2023-10-06 11-17-03.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,1,"(1800, 3600)",0,0.863409217,0,0.007218212,0.138811771,2517.062331,242.162393
23,6,SEFL_10K6b_EPM6_23_2023-10-06 11-17-03.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,2,"(3600, 5400)",0,1,0,0,0.003331483,2971.681905,285.9005884
23,6,SEFL_10K6b_EPM6_23_2023-10-06 11-17-03.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,3,"(5400, 7200)",0.337034981,0.319822321,0,0.308717379,0.036646308,2033.518421,195.6414353
23,6,SEFL_10K6b_EPM6_23_2023-10-06 11-17-03.mkv,98,TRUE,0.1,50,1050,"{'xs': [[103.34023668639051, 205.75147928994082, 178.60059171597632, 138.5887573964497], [109.05621301775146, 139.54142011834318, 175.74260355029583, 209.08579881656803], [3.3106508875739644, 138.5887573964497, 139.54142011834318, 3.3106508875739644], [178.60059171597632, 318.6420118343195, 320.0710059171597, 175.74260355029583], [175.74260355029583, 139.54142011834318, 138.5887573964497, 178.60059171597632]], 'ys': [[0.7497789957567511, 2.5885342998585896, 145.0920703677511, 146.011448019802], [323.45133486562946, 175.8912217114569, 175.43153288543144, 323.45133486562946], [150.6083362800566, 146.011448019802, 175.8912217114569, 177.27028818953326], [145.0920703677511, 141.41455975954742, 172.67339992927867, 175.43153288543144], [175.43153288543144, 175.8912217114569, 146.011448019802, 145.0920703677511]]}",ctr,FALSE,4,"(7200, 9000)",0.457222222,0.360555556,0.074444444,0,0.115555556,1537.757451,147.9450944
24,2,SEFL_10K6B_EPM_24_2023-09-29 16-06-15.mkv,98,TRUE,0.1,50,1050,"{'xs': [[136.84724292101345, 165.46125186289123, 173.09165424739197, 137.32414307004473], [137.32414307004473, 174.52235469448587, 174.99925484351718, 143.0469448584203], [1.4076005961251872, 137.32414307004473, 137.32414307004473, 1.4076005961251872], [173.09165424739197, 316.63859910581226, 318.54619970193744, 174.52235469448587], [174.52235469448587, 137.32414307004473, 137.32414307004473, 173.09165424739197]], 'ys': [[0.05761986301367714, -0.39991438356166537, 142.80830479452055, 142.80830479452055], [173.92063356164383, 173.4630993150685, 328.5672089041096, 329.93981164383564], [146.01104452054793, 142.80830479452055, 173.92063356164383, 174.83570205479452], [142.80830479452055, 142.3507705479452, 172.09049657534246, 173.4630993150685], [173.4630993150685, 173.92063356164383, 142.80830479452055, 142.80830479452055]]}",c2,FALSE,0,"(0, 1800)",0.186563021,0.269850083,0.139922265,0.052748473,0.367018323,2188.776875,211.7326722
24,2,SEFL_10K6B_EPM_24_2023-09-29 16-06-15.mkv,98,TRUE,0.1,50,1050,"{'xs': [[136.84724292101345, 165.46125186289123, 173.09165424739197, 137.32414307004473], [137.32414307004473, 174.52235469448587, 174.99925484351718, 143.0469448584203], [1.4076005961251872, 137.32414307004473, 137.32414307004473, 1.4076005961251872], [173.09165424739197, 316.63859910581226, 318.54619970193744, 174.52235469448587], [174.52235469448587, 137.32414307004473, 137.32414307004473, 173.09165424739197]], 'ys': [[0.05761986301367714, -0.39991438356166537, 142.80830479452055, 142.80830479452055], [173.92063356164383, 173.4630993150685, 328.5672089041096, 329.93981164383564], [146.01104452054793, 142.80830479452055, 173.92063356164383, 174.83570205479452], [142.80830479452055, 142.3507705479452, 172.09049657534246, 173.4630993150685], [173.4630993150685, 173.92063356164383, 142.80830479452055, 142.80830479452055]]}",c2,FALSE,1,"(1800, 3600)",0.26485286,0.406996113,0,0.058300944,0.30094392,2806.506164,271.4890935
