Region,Cell,HM4D,SpikeT_ms_chunked,SpikeT_sec_chunked,RecordChunk,SpikeT_sec
vCA1,231101_cell2,pos,384252.3125,384.2523125,0,384.2523125
vCA1,231101_cell2,pos,384310.0938,384.3100938,0,384.3100938
vCA1,231101_cell2,pos,388431.6875,388.4316875,0,388.4316875
vCA1,231101_cell2,pos,390883.5,390.8835,0,390.8835
vCA1,231101_cell2,pos,391101.6875,391.1016875,0,391.1016875
vCA1,231101_cell2,pos,393178.5938,393.1785938,0,393.1785938
vCA1,231101_cell2,pos,396096,396.096,0,396.096
vCA1,231101_cell2,pos,397531.5,397.5315,0,397.5315
vCA1,231101_cell2,pos,399417.8125,399.4178125,0,399.4178125
vCA1,231101_cell2,pos,399587.4063,399.5874063,0,399.5874063
vCA1,231101_cell2,pos,405629,405.629,0,405.629
vCA1,231101_cell2,pos,406316.5938,406.3165938,0,406.3165938
vCA1,231101_cell2,pos,407622.5938,407.6225938,0,407.6225938
vCA1,231101_cell2,pos,411632.8125,411.6328125,0,411.6328125
vCA1,231101_cell2,pos,412844,412.844,0,412.844
vCA1,231101_cell2,pos,414258.8125,414.2588125,0,414.2588125
vCA1,231101_cell2,pos,417793.0938,417.7930938,0,417.7930938
vCA1,231101_cell2,pos,418113.0938,418.1130938,0,418.1130938
vCA1,231101_cell2,pos,421352.9063,421.3529063,0,421.3529063
vCA1,231101_cell2,pos,421511.1875,421.5111875,0,421.5111875
vCA1,231101_cell2,pos,422966.6875,422.9666875,0,422.9666875
vCA1,231101_cell2,pos,426276.5,426.2765,0,426.2765
vCA1,231101_cell2,pos,427324.9063,427.3249063,0,427.3249063
vCA1,231101_cell2,pos,428103,428.103,0,428.103
vCA1,231101_cell2,pos,432676,432.676,0,432.676
vCA1,231101_cell2,pos,437473.8125,437.4738125,0,437.4738125
vCA1,231101_cell2,pos,441659,441.659,0,441.659
vCA1,231101_cell2,pos,442933.5,442.9335,0,442.9335
vCA1,231101_cell2,pos,443306.1875,443.3061875,0,443.3061875
vCA1,231101_cell2,pos,448582.0938,448.5820938,0,448.5820938
vCA1,231101_cell2,pos,451872.8125,451.8728125,0,451.8728125
vCA1,231101_cell2,pos,455828.4063,455.8284063,0,455.8284063
vCA1,231101_cell2,pos,457252.5,457.2525,0,457.2525
vCA1,231101_cell2,pos,462735.5938,462.7355938,0,462.7355938
vCA1,231101_cell2,pos,463487.8125,463.4878125,0,463.4878125
vCA1,231101_cell2,pos,466675.0938,466.6750938,0,466.6750938
vCA1,231101_cell2,pos,467376.3125,467.3763125,0,467.3763125
vCA1,231101_cell2,pos,467698.5,467.6985,0,467.6985
vCA1,231101_cell2,pos,478553.4063,478.5534063,0,478.5534063
vCA1,231101_cell2,pos,481747.4063,481.7474063,0,481.7474063
vCA1,231101_cell2,pos,484154.0938,484.1540938,0,484.1540938
vCA1,231101_cell2,pos,486492.8125,486.4928125,0,486.4928125
vCA1,231101_cell2,pos,488312.5,488.3125,0,488.3125
vCA1,231101_cell2,pos,492620.1875,492.6201875,0,492.6201875
vCA1,231101_cell2,pos,493453.6875,493.4536875,0,493.4536875
vCA1,231101_cell2,pos,497206.5,497.2065,0,497.2065
vCA1,231101_cell2,pos,498536.9063,498.5369063,0,498.5369063
vCA1,231101_cell2,pos,502326,502.326,0,502.326
vCA1,231101_cell2,pos,505616.5,505.6165,0,505.6165
vCA1,231101_cell2,pos,506516.5,506.5165,0,506.5165
vCA1,231101_cell2,pos,508961.9063,508.9619063,0,508.9619063
vCA1,231101_cell2,pos,511135.0938,511.1350938,0,511.1350938
vCA1,231101_cell2,pos,513325.9063,513.3259063,0,513.3259063
vCA1,231101_cell2,pos,514032.5938,514.0325938,0,514.0325938
vCA1,231101_cell2,pos,517346.8125,517.3468125,0,517.3468125
vCA1,231101_cell2,pos,520996.8125,520.9968125,0,520.9968125
vCA1,231101_cell2,pos,521956,521.956,0,521.956
vCA1,231101_cell2,pos,522898,522.898,0,522.898
vCA1,231101_cell2,pos,525486.1875,525.4861875,0,525.4861875
vCA1,231101_cell2,pos,530673.125,530.673125,0,530.673125
vCA1,231101_cell2,pos,531472.5,531.4725,0,531.4725
vCA1,231101_cell2,pos,536785.375,536.785375,0,536.785375
vCA1,231101_cell2,pos,536879.1875,536.8791875,0,536.8791875
vCA1,231101_cell2,pos,545107.1875,545.1071875,0,545.1071875
vCA1,231101_cell2,pos,549068.875,549.068875,0,549.068875
vCA1,231101_cell2,pos,552409.8125,552.4098125,0,552.4098125
vCA1,231101_cell2,pos,556719.8125,556.7198125,0,556.7198125
vCA1,231101_cell2,pos,559834.375,559.834375,0,559.834375
vCA1,231101_cell2,pos,566959.5,566.9595,0,566.9595
vCA1,231101_cell2,pos,568920.875,568.920875,0,568.920875
vCA1,231101_cell2,pos,574228.5,574.2285,0,574.2285
vCA1,231101_cell2,pos,576161.5,576.1615,0,576.1615
vCA1,231101_cell2,pos,576603.375,576.603375,0,576.603375
vCA1,231101_cell2,pos,581592.8125,581.5928125,0,581.5928125
vCA1,231101_cell2,pos,584428.875,584.428875,0,584.428875
vCA1,231101_cell2,pos,586787.375,586.787375,0,586.787375
vCA1,231101_cell2,pos,591204.5,591.2045,0,591.2045
vCA1,231101_cell2,pos,596580.625,596.580625,0,596.580625
vCA1,231101_cell2,pos,601799.125,601.799125,0,601.799125
vCA1,231101_cell2,pos,606727.5,606.7275,0,606.7275
vCA1,231101_cell2,pos,612967,612.967,0,612.967
vCA1,231101_cell2,pos,616284.625,616.284625,0,616.284625
vCA1,231101_cell2,pos,620406.3125,620.4063125,0,620.4063125
vCA1,231101_cell2,pos,624546.375,624.546375,0,624.546375
vCA1,231101_cell2,pos,625606.6875,625.6066875,0,625.6066875
vCA1,231101_cell2,pos,627970.375,627.970375,0,627.970375
vCA1,231101_cell2,pos,635716.125,635.716125,0,635.716125
