Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
3,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.9078467153284668, 100.5939781021898, 101.35310218978103, 1.9078467153284668], [1.9078467153284668, 101.35310218978103, 102.11222627737227, 2.6669708029197077]], 'ys': [[0.8125, 1.3125, 108.8125, 107.8125], [107.8125, 108.8125, 212.8125, 212.3125]]}",3,"(5400, 7200)",0.128817324,0.871182676,504.7046796,47.21637445
3,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.9078467153284668, 100.5939781021898, 101.35310218978103, 1.9078467153284668], [1.9078467153284668, 101.35310218978103, 102.11222627737227, 2.6669708029197077]], 'ys': [[0.8125, 1.3125, 108.8125, 107.8125], [107.8125, 108.8125, 212.8125, 212.3125]]}",4,"(7200, 9000)",0,1,199.2902499,18.64409712
4,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.2284071180555576, 104.02701822916667, 102.54090711805556, 2.9714626736111134], [2.9714626736111134, 102.54090711805556, 102.54090711805556, 1.485351562500002]], 'ys': [[1.6201372997711554, 1.1212814645308808, 110.37070938215102, 108.37528604118992], [108.37528604118992, 110.37070938215102, 215.1304347826087, 214.13272311212816]]}",0,"(0, 1800)",0.417545808,0.583009439,1526.314825,152.5037606
4,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.2284071180555576, 104.02701822916667, 102.54090711805556, 2.9714626736111134], [2.9714626736111134, 102.54090711805556, 102.54090711805556, 1.485351562500002]], 'ys': [[1.6201372997711554, 1.1212814645308808, 110.37070938215102, 108.37528604118992], [108.37528604118992, 110.37070938215102, 215.1304347826087, 214.13272311212816]]}",1,"(1800, 3600)",0.55247085,0.451971127,1485.276166,148.4033288
4,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.2284071180555576, 104.02701822916667, 102.54090711805556, 2.9714626736111134], [2.9714626736111134, 102.54090711805556, 102.54090711805556, 1.485351562500002]], 'ys': [[1.6201372997711554, 1.1212814645308808, 110.37070938215102, 108.37528604118992], [108.37528604118992, 110.37070938215102, 215.1304347826087, 214.13272311212816]]}",2,"(3600, 5400)",0.24375347,0.75624653,1139.911197,113.8957321
4,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.2284071180555576, 104.02701822916667, 102.54090711805556, 2.9714626736111134], [2.9714626736111134, 102.54090711805556, 102.54090711805556, 1.485351562500002]], 'ys': [[1.6201372997711554, 1.1212814645308808, 110.37070938215102, 108.37528604118992], [108.37528604118992, 110.37070938215102, 215.1304347826087, 214.13272311212816]]}",3,"(5400, 7200)",0.335924486,0.664075514,1296.74744,129.5662322
4,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.2284071180555576, 104.02701822916667, 102.54090711805556, 2.9714626736111134], [2.9714626736111134, 102.54090711805556, 102.54090711805556, 1.485351562500002]], 'ys': [[1.6201372997711554, 1.1212814645308808, 110.37070938215102, 108.37528604118992], [108.37528604118992, 110.37070938215102, 215.1304347826087, 214.13272311212816]]}",4,"(7200, 9000)",0.1238201,0.880621877,1013.323886,101.2475938
5,ms5-8_2021-08-30 11-59-26.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",0,"(0, 1800)",0.016657413,0.990005552,977.2271636,93.45140316
5,ms5-8_2021-08-30 11-59-26.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",1,"(1800, 3600)",0,1,880.6233797,84.21326541
5,ms5-8_2021-08-30 11-59-26.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",2,"(3600, 5400)",0.179900056,0.830094392,846.4648478,80.94671404
