Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
5,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",2,"(3600, 5400)",0,1,522.407956,38.0109292
5,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",3,"(5400, 7200)",0,1,394.365977,28.6944658
5,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",4,"(7200, 9000)",0,0.99165275,764.027877,55.591438
6,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",0,"(0, 1800)",0.345918934,0.658523043,1779.377253,125.0957266
6,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",1,"(1800, 3600)",0.219877846,0.780122154,1748.08978,122.8961205
6,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",2,"(3600, 5400)",0.231538034,0.769017213,1380.490892,97.05278122
6,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",3,"(5400, 7200)",0.350916158,0.649083842,1443.942118,101.5135988
6,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",4,"(7200, 9000)",0.287062743,0.722376458,974.4193242,68.50469355
8,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",0,"(0, 1800)",0.213770128,0.795669073,1565.467786,112.7482943
8,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",1,"(1800, 3600)",0.111604664,0.890616324,1080.712655,77.83520658
8,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",2,"(3600, 5400)",0.149361466,0.850638534,1049.658447,75.59861694
8,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",3,"(5400, 7200)",0.088839534,0.911160466,959.5185104,69.10654846
8,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",4,"(7200, 9000)",0.314825097,0.68961688,1317.872324,94.91594652
9,ms6-10_2021-06-14 12-03-51.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",0,"(0, 1800)",0.081066074,0.923375902,1430.529507,106.2504508
