Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
14,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",3,"(5400, 7200)",0.09772349,0.89838978,869.944275,63.2980218
14,ms11-14_2021-06-14 12-13-52.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",4,"(7200, 9000)",0.32648529,0.67073848,952.391711,69.2969803
15,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",0,"(0, 1800)",0.01332593,0.987229317,637.2946989,44.80378926
15,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",1,"(1800, 3600)",0,1,124.4212872,8.747201474
15,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",2,"(3600, 5400)",0,1,575.3076273,40.44590632
15,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",3,"(5400, 7200)",0.23431427,0.769017213,619.3790018,43.54426032
15,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",4,"(7200, 9000)",0.001665741,1,658.9557485,46.32662807
17,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",0,"(0, 1800)",0.014436424,0.987229317,1199.089573,86.3609621
17,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",1,"(1800, 3600)",0.034425319,0.965574681,674.8702955,48.60558319
17,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",2,"(3600, 5400)",0,1,737.8320241,53.14021978
17,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",3,"(5400, 7200)",0,1,882.6389739,63.56952197
17,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",4,"(7200, 9000)",0.028317601,0.97334814,856.8710755,61.71366353
18,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",0,"(0, 1800)",0.122709606,0.883398112,1522.877038,113.1094262
18,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",1,"(1800, 3600)",0.217656857,0.787895614,1351.525756,100.3825648
18,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",2,"(3600, 5400)",0.162687396,0.839533592,1310.147949,97.30928967
18,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",3,"(5400, 7200)",0,1,791.9338362,58.81970746
18,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",4,"(7200, 9000)",0.496390894,0.508051083,1166.34026,86.62818752
19,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",0,"(0, 1800)",0.11660189,0.87062743,1520.84205,110.658
19,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",1,"(1800, 3600)",0.21210439,0.78234314,1349.2298,98.1713195
19,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",2,"(3600, 5400)",0.16046641,0.83453637,1310.44458,95.3492674
19,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",3,"(5400, 7200)",0,1,793.960284,57.7693501
19,ms15-19_2021-06-14 12-23-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",4,"(7200, 9000)",0.49305941,0.49028318,1165.84053,84.8277317
20,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",0,"(0, 1800)",0.422543032,0.583009439,1901.857338,180.8397115
20,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",1,"(1800, 3600)",0.400888395,0.600777346,1397.087706,132.8432646
20,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",2,"(3600, 5400)",0.217656857,0.783453637,1336.953301,127.1253339
20,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",3,"(5400, 7200)",0.370905053,0.631315936,1296.698267,123.29765
20,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",4,"(7200, 9000)",0.20766241,0.800111049,1046.560011,99.51304271
21,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",0,"(0, 1800)",0,1,145.1368,13.1833933
21,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",1,"(1800, 3600)",0,1,144.176625,13.0961764
21,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",2,"(3600, 5400)",0.01665741,0.98667407,681.372757,61.8919874
21,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",3,"(5400, 7200)",0,1,557.660499,50.6546765
21,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",4,"(7200, 9000)",0,1,551.682386,50.111659
24,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",0,"(0, 1800)",0.430316491,0.573014992,1845.436194,181.4209119
24,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",1,"(1800, 3600)",0.400333148,0.602998334,1678.882824,165.047404
24,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",2,"(3600, 5400)",0.5047196,0.496946141,1499.124969,147.3757911
24,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",3,"(5400, 7200)",0.40199889,0.59800111,1522.981503,149.7210763
24,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",4,"(7200, 9000)",0.425874514,0.574125486,1025.135903,100.7789329
25,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.290006868131865, 101.41088598901099, 99.05923763736264, 3.8174793956043924], [3.8174793956043924, 99.05923763736264, 103.76253434065934, 4.9933035714285685]], 'ys': [[0.46596337579619607, 0.46596337579619607, 103.95003980891721, 103.95003980891721], [103.95003980891721, 103.95003980891721, 208.7780652866242, 209.4500398089172]]}",0,"(0, 1800)",0.23431427,0.76846197,1576.72963,146.565156
25,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.290006868131865, 101.41088598901099, 99.05923763736264, 3.8174793956043924], [3.8174793956043924, 99.05923763736264, 103.76253434065934, 4.9933035714285685]], 'ys': [[0.46596337579619607, 0.46596337579619607, 103.95003980891721, 103.95003980891721], [103.95003980891721, 103.95003980891721, 208.7780652866242, 209.4500398089172]]}",1,"(1800, 3600)",0.13159356,0.86840644,1366.58238,127.030884
25,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.290006868131865, 101.41088598901099, 99.05923763736264, 3.8174793956043924], [3.8174793956043924, 99.05923763736264, 103.76253434065934, 4.9933035714285685]], 'ys': [[0.46596337579619607, 0.46596337579619607, 103.95003980891721, 103.95003980891721], [103.95003980891721, 103.95003980891721, 208.7780652866242, 209.4500398089172]]}",2,"(3600, 5400)",0.23209328,0.76790672,1268.36407,117.900986
25,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.290006868131865, 101.41088598901099, 99.05923763736264, 3.8174793956043924], [3.8174793956043924, 99.05923763736264, 103.76253434065934, 4.9933035714285685]], 'ys': [[0.46596337579619607, 0.46596337579619607, 103.95003980891721, 103.95003980891721], [103.95003980891721, 103.95003980891721, 208.7780652866242, 209.4500398089172]]}",3,"(5400, 7200)",0.16990561,0.83009439,1192.32846,110.833084
25,ms_20_21_24_25__2021-06-24 11-00-35.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.290006868131865, 101.41088598901099, 99.05923763736264, 3.8174793956043924], [3.8174793956043924, 99.05923763736264, 103.76253434065934, 4.9933035714285685]], 'ys': [[0.46596337579619607, 0.46596337579619607, 103.95003980891721, 103.95003980891721], [103.95003980891721, 103.95003980891721, 208.7780652866242, 209.4500398089172]]}",4,"(7200, 9000)",0.22709606,0.77290394,1265.36157,117.621888
26,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",0,"(0, 1800)",0.45141588,0.551360355,1644.951008,156.4115561
26,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",1,"(1800, 3600)",0.486396446,0.514158801,1346.663006,128.0485894
26,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",2,"(3600, 5400)",0.422543032,0.57912271,1263.729015,120.1627409
26,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",3,"(5400, 7200)",0.546918379,0.453636868,1317.055945,125.233377
26,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.565625000000004, 103.53404605263158, 101.23930921052632, 4.8603618421052674], [4.8603618421052674, 101.23930921052632, 103.53404605263158, 3.7129934210526354, 4.8603618421052674]], 'ys': [[0.7199519230769296, 2.066105769230776, 105.046875, 104.37379807692308], [104.37379807692308, 105.046875, 208.70072115384616, 208.02764423076923, 160.9122596153846]]}",4,"(7200, 9000)",0.692948362,0.31038312,1156.716306,109.987347
28,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",0,"(0, 1800)",0.14825097,0.85341477,1198.17336,108.835186
28,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",1,"(1800, 3600)",0.10272071,0.89727929,819.165927,74.4083274
28,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",2,"(3600, 5400)",0.24486396,0.75680178,1072.37218,97.4081287
28,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",3,"(5400, 7200)",0.12159911,0.87951138,944.035798,85.7507893
28,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.3539603960396074, 106.70049504950494, 103.37376237623762, 5.789603960396043], [5.789603960396043, 103.37376237623762, 107.80940594059405, 3.571782178217825]], 'ys': [[0.7179538216560687, 1.3899283439490624, 104.20203025477709, 104.20203025477709], [104.20203025477709, 104.20203025477709, 209.70203025477707, 209.70203025477707]]}",4,"(7200, 9000)",0.29428096,0.70738479,982.834966,89.2750828
29,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",0,"(0, 1800)",0.061077179,0.940588562,998.0840894,98.11952659
29,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",1,"(1800, 3600)",0,1,682.4205619,67.08731577
29,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",2,"(3600, 5400)",0.083287063,0.916712937,847.7278759,83.33832665
29,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",3,"(5400, 7200)",0,1,730.0795216,71.77256685
29,ms_26_28_29_31__2021-06-24 11-10-58.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.462871287128716, 103.37376237623762, 103.37376237623762, 3.571782178217825], [3.571782178217825, 103.37376237623762, 105.59158415841584, 3.571782178217825]], 'ys': [[1.8099124203821833, 1.1379378980891897, 104.62201433121021, 104.62201433121021], [104.62201433121021, 104.62201433121021, 209.4500398089172, 208.7780652866242]]}",4,"(7200, 9000)",0.099389228,0.901721266,754.1092352,74.13487695
