Animal,testnum,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,1,3,LD1_01_02_03_04_2022-12-02 12-19-41.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0083165322580643, 102.05670362903226, 103.75025201612902, 1.5728326612903225], [1.5728326612903225, 103.75025201612902, 103.18573588709677, 1.5728326612903225]], 'ys': [[2.0088141025641053, 2.0088141025641053, 109.31650641025641, 108.12419871794872], [108.12419871794872, 109.31650641025641, 215.43189102564102, 215.43189102564102]]}",light,FALSE,0,"(0, 1800)",0.088839534,0.913936702,1247.455705,124.4174195
7,1,3,LD1_05_06_07_08_2022-12-02 12-38-34.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0083165322580643, 102.05670362903226, 103.75025201612902, 1.5728326612903225], [1.5728326612903225, 103.75025201612902, 103.18573588709677, 1.5728326612903225]], 'ys': [[2.0088141025641053, 2.0088141025641053, 109.31650641025641, 108.12419871794872], [108.12419871794872, 109.31650641025641, 215.43189102564102, 215.43189102564102]]}",dark,FALSE,0,"(0, 1800)",0.500832871,0.503609106,1656.996059,165.2637228
13,1,3,LD1_11_12_13_14_2022-12-02 13-16-43.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0083165322580643, 102.05670362903226, 103.75025201612902, 1.5728326612903225], [1.5728326612903225, 103.75025201612902, 103.18573588709677, 1.5728326612903225]], 'ys': [[2.0088141025641053, 2.0088141025641053, 109.31650641025641, 108.12419871794872], [108.12419871794872, 109.31650641025641, 215.43189102564102, 215.43189102564102]]}",light,FALSE,0,"(0, 1800)",0.399222654,0.610216546,1521.172733,151.7171194
17,1,3,LD1_15_16_17_18_2022-12-02 13-56-02.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0083165322580643, 102.05670362903226, 103.75025201612902, 1.5728326612903225], [1.5728326612903225, 103.75025201612902, 103.18573588709677, 1.5728326612903225]], 'ys': [[2.0088141025641053, 2.0088141025641053, 109.31650641025641, 108.12419871794872], [108.12419871794872, 109.31650641025641, 215.43189102564102, 215.43189102564102]]}",dark,FALSE,0,"(0, 1800)",0.51804553,0.497501388,1943.833102,193.8719729
4,1,4,LD1_01_02_03_04_2022-12-02 12-19-41.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0289062499999988, 100.02335069444445, 100.02335069444445, 1.0289062499999988], [1.0289062499999988, 100.02335069444445, 100.59557291666667, 1.0289062499999988]], 'ys': [[2.0066029143898074, 2.800774134790536, 109.61680327868854, 107.23428961748635], [107.23428961748635, 109.61680327868854, 216.43283242258653, 215.24157559198545]]}",dark,FALSE,0,"(0, 1800)",0.346474181,0.659633537,1985.166017,200.9429882
8,1,4,LD1_05_06_07_08_2022-12-02 12-38-34.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0289062499999988, 100.02335069444445, 100.02335069444445, 1.0289062499999988], [1.0289062499999988, 100.02335069444445, 100.59557291666667, 1.0289062499999988]], 'ys': [[2.0066029143898074, 2.800774134790536, 109.61680327868854, 107.23428961748635], [107.23428961748635, 109.61680327868854, 216.43283242258653, 215.24157559198545]]}",light,FALSE,0,"(0, 1800)",0.230982787,0.771793448,1474.970534,149.2998491
14,1,4,LD1_11_12_13_14_2022-12-02 13-16-43.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0289062499999988, 100.02335069444445, 100.02335069444445, 1.0289062499999988], [1.0289062499999988, 100.02335069444445, 100.59557291666667, 1.0289062499999988]], 'ys': [[2.0066029143898074, 2.800774134790536, 109.61680327868854, 107.23428961748635], [107.23428961748635, 109.61680327868854, 216.43283242258653, 215.24157559198545]]}",dark,FALSE,0,"(0, 1800)",0.461965575,0.54469739,1497.861158,151.6168897
18,1,4,LD1_15_16_17_18_2022-12-02 13-56-02.mkv,99,TRUE,0.9,50,1800,"{'xs': [[1.0289062499999988, 100.02335069444445, 100.02335069444445, 1.0289062499999988], [1.0289062499999988, 100.02335069444445, 100.59557291666667, 1.0289062499999988]], 'ys': [[2.0066029143898074, 2.800774134790536, 109.61680327868854, 107.23428961748635], [107.23428961748635, 109.61680327868854, 216.43283242258653, 215.24157559198545]]}",dark,FALSE,0,"(0, 1800)",0.193225986,0.808995003,1171.803587,118.6126059
1,1,1,LD1_01_02_03_04_2022-12-02 12-19-41.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",dark,FALSE,1,"(1800, 3600)",0.393670183,0.609661299,1665.000484,165.0752427
5,1,1,LD1_05_06_07_08_2022-12-02 12-38-34.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",light,FALSE,1,"(1800, 3600)",0.327040533,0.673514714,821.5666792,81.45362135
