Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),DstFrmCnt_in,Distance_px,Distance_in
6,1,OF1_06_2022-11-28 14-10-23.mkv,99,TRUE,0.7,50,1200,4,"(7200, 9000)",8.737153107,328.2718491,33.13270331
6,2,OF2_06_2022-12-05 12-14-12.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.682221619,5360.049462,361.6895968
6,2,OF2_06_2022-12-05 12-14-12.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",6.304192976,2867.603197,193.5023644
6,2,OF2_06_2022-12-05 12-14-12.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",6.572808353,2560.391321,172.7720819
6,2,OF2_06_2022-12-05 12-14-12.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",6.368545534,2032.372425,137.1420111
6,2,OF2_06_2022-12-05 12-14-12.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",6.002416919,2195.101819,148.1227921
7,1,OF1_07_2022-11-28 14-24-32.mkv,99,TRUE,0.7,50,1200,0,"(0, 1800)",7.475101343,2351.613492,237.3499658
7,1,OF1_07_2022-11-28 14-24-32.mkv,99,TRUE,0.7,50,1200,1,"(1800, 3600)",7.97420283,1777.863525,179.4409873
7,1,OF1_07_2022-11-28 14-24-32.mkv,99,TRUE,0.7,50,1200,2,"(3600, 5400)",7.309158346,2017.017257,203.5789378
7,1,OF1_07_2022-11-28 14-24-32.mkv,99,TRUE,0.7,50,1200,3,"(5400, 7200)",7.014877132,1027.738439,103.7303469
7,1,OF1_07_2022-11-28 14-24-32.mkv,99,TRUE,0.7,50,1200,4,"(7200, 9000)",5.572183586,802.2787406,80.9745446
7,2,OF2_07_2022-12-05 12-22-59.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.860789551,5024.664625,339.0582373
7,2,OF2_07_2022-12-05 12-22-59.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",6.878189504,3322.012279,224.1653348
7,2,OF2_07_2022-12-05 12-22-59.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",6.382283789,2274.614043,153.4881799
7,2,OF2_07_2022-12-05 12-22-59.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",7.541130245,1889.193197,127.4804516
7,2,OF2_07_2022-12-05 12-22-59.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",6.936080289,2324.006926,156.8211514
8,1,OF1_08_2022-11-28 14-42-16.mkv,99,TRUE,0.9,50,990,0,"(0, 1800)",7.910963294,1063.615055,106.9927628
8,1,OF1_08_2022-11-28 14-42-16.mkv,99,TRUE,0.9,50,990,1,"(1800, 3600)",8.070444307,1018.294422,102.4338016
8,1,OF1_08_2022-11-28 14-42-16.mkv,99,TRUE,0.9,50,990,2,"(3600, 5400)",7.991968087,560.0583562,56.33823118
8,1,OF1_08_2022-11-28 14-42-16.mkv,99,TRUE,0.9,50,990,3,"(5400, 7200)",8.597912938,753.9500833,75.84247895
8,1,OF1_08_2022-11-28 14-42-16.mkv,99,TRUE,0.9,50,990,4,"(7200, 9000)",8.175203134,848.3041429,85.33388421
8,2,OF2_08_2022-12-05 12-32-29.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.887063778,3240.713649,218.6794024
8,2,OF2_08_2022-12-05 12-32-29.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",8.154613157,2893.241076,195.2323772
8,2,OF2_08_2022-12-05 12-32-29.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",7.410314818,2785.844002,187.9853537
8,2,OF2_08_2022-12-05 12-32-29.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",7.446225794,2365.370052,159.6122847
8,2,OF2_08_2022-12-05 12-32-29.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",7.742518568,2393.739475,161.5266187
9,1,OF1_09_2022-11-28 14-52-02.mkv,99,TRUE,0.9,50,1110,0,"(0, 1800)",8.561708363,1930.373953,199.4231339
9,1,OF1_09_2022-11-28 14-52-02.mkv,99,TRUE,0.9,50,1110,1,"(1800, 3600)",8.439178696,1191.669493,123.1090301
9,1,OF1_09_2022-11-28 14-52-02.mkv,99,TRUE,0.9,50,1110,2,"(3600, 5400)",8.05859836,1168.843665,120.7509386
9,1,OF1_09_2022-11-28 14-52-02.mkv,99,TRUE,0.9,50,1110,3,"(5400, 7200)",8.085700693,1206.022176,124.5917775
9,1,OF1_09_2022-11-28 14-52-02.mkv,99,TRUE,0.9,50,1110,4,"(7200, 9000)",8.256580295,849.8412556,87.79542757
9,2,OF2_09_2022-12-05 12-43-44.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",8.219165169,1546.906267,104.3833472
9,2,OF2_09_2022-12-05 12-43-44.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",8.50596731,1155.178262,77.95001947
9,2,OF2_09_2022-12-05 12-43-44.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",7.739335924,1810.342346,122.1596924
9,2,OF2_09_2022-12-05 12-43-44.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",7.51941813,2575.902421,173.818752
9,2,OF2_09_2022-12-05 12-43-44.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",7.810447155,832.8048224,56.19665314
10,1,OF1_10_2022-11-28 14-58-21.mkv,99,TRUE,0.7,50,1440,0,"(0, 1800)",7.512032154,2010.666754,203.0199409
