Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 103.68543198529413, 2.361902573529413], [2.361902573529413, 103.68543198529413, 102.90602022058825, 1.5824908088235305]], 'ys': [[2.1380148741418834, 3.131149885583531, 108.40346109839817, 107.41032608695653], [107.41032608695653, 108.40346109839817, 215.6620423340961, 214.17233981693363]]}",light_dark,FALSE,2,"(3600, 5400)",0.453081621,0.548028873,1428.720617,143.7489302
3,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 103.68543198529413, 2.361902573529413], [2.361902573529413, 103.68543198529413, 102.90602022058825, 1.5824908088235305]], 'ys': [[2.1380148741418834, 3.131149885583531, 108.40346109839817, 107.41032608695653], [107.41032608695653, 108.40346109839817, 215.6620423340961, 214.17233981693363]]}",light,TRUE,3,"(5400, 7200)",0.458078845,0.543031649,1322.58342,133.0700694
3,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 103.68543198529413, 2.361902573529413], [2.361902573529413, 103.68543198529413, 102.90602022058825, 1.5824908088235305]], 'ys': [[2.1380148741418834, 3.131149885583531, 108.40346109839817, 107.41032608695653], [107.41032608695653, 108.40346109839817, 215.6620423340961, 214.17233981693363]]}",light,FALSE,4,"(7200, 9000)",0.385896724,0.614103276,1043.296998,104.9700169
4,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.8977581521739144, 103.9194972826087, 103.14413496376812, 3.8977581521739144], [3.8977581521739144, 103.14413496376812, 103.9194972826087, 0.7963088768115955]], 'ys': [[1.1448275862068904, 2.6344827586206834, 109.8896551724138, 108.39999999999999], [108.39999999999999, 109.8896551724138, 214.66206896551725, 213.6689655172414]]}",light,FALSE,0,"(0, 1800)",0.364797335,0.645197113,1471.343577,148.0699749
4,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.8977581521739144, 103.9194972826087, 103.14413496376812, 3.8977581521739144], [3.8977581521739144, 103.14413496376812, 103.9194972826087, 0.7963088768115955]], 'ys': [[1.1448275862068904, 2.6344827586206834, 109.8896551724138, 108.39999999999999], [108.39999999999999, 109.8896551724138, 214.66206896551725, 213.6689655172414]]}",light,FALSE,1,"(1800, 3600)",0,1,679.1471264,68.34657757
4,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.8977581521739144, 103.9194972826087, 103.14413496376812, 3.8977581521739144], [3.8977581521739144, 103.14413496376812, 103.9194972826087, 0.7963088768115955]], 'ys': [[1.1448275862068904, 2.6344827586206834, 109.8896551724138, 108.39999999999999], [108.39999999999999, 109.8896551724138, 214.66206896551725, 213.6689655172414]]}",light,FALSE,2,"(3600, 5400)",0.189894503,0.820655192,850.6152261,85.60242292
4,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.8977581521739144, 103.9194972826087, 103.14413496376812, 3.8977581521739144], [3.8977581521739144, 103.14413496376812, 103.9194972826087, 0.7963088768115955]], 'ys': [[1.1448275862068904, 2.6344827586206834, 109.8896551724138, 108.39999999999999], [108.39999999999999, 109.8896551724138, 214.66206896551725, 213.6689655172414]]}",light,FALSE,3,"(5400, 7200)",0.309827873,0.692393115,1118.779691,112.5893934
4,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.8977581521739144, 103.9194972826087, 103.14413496376812, 3.8977581521739144], [3.8977581521739144, 103.14413496376812, 103.9194972826087, 0.7963088768115955]], 'ys': [[1.1448275862068904, 2.6344827586206834, 109.8896551724138, 108.39999999999999], [108.39999999999999, 109.8896551724138, 214.66206896551725, 213.6689655172414]]}",light,FALSE,4,"(7200, 9000)",0.419766796,0.580233204,778.343617,78.329305
5,SEFL10K6_LD_5_6_7_9_2023-05-17 12-05-29.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",light,FALSE,0,"(0, 1800)",0.359244864,0.654636313,1805.904389,179.5914614
5,SEFL10K6_LD_5_6_7_9_2023-05-17 12-05-29.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",light,FALSE,1,"(1800, 3600)",0.089950028,0.919489173,1204.172749,119.7511591
