Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),closed1,closed2,open1,open2,ctr,Distance_px,Distance_in
35,1,SEFL10K6_EPM1_35_2023-05-25 12-42-22.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,4,"(7200, 9000)",0.313890559,0.557426338,0,0,0.129885749,1013.300858,95.38238699
35,2,SEFL10K6_EPM2_35_2023-05-27 12-09-30.mkv,98,TRUE,0.5,40,1050,"{'xs': [[142.07338551859098, 175.8894324853229, 179.0205479452055, 145.8307240704501], [145.8307240704501, 179.0205479452055, 179.646771037182, 150.2142857142857], [1.7994129158512728, 145.8307240704501, 145.8307240704501, 1.1731898238747562], [179.0205479452055, 317.4158512720157, 318.0420743639922, 179.0205479452055], [179.0205479452055, 145.8307240704501, 145.8307240704501, 179.0205479452055]], 'ys': [[1.9555353901996517, 1.3602540834845884, 149.5852994555354, 150.77586206896552], [179.34936479128856, 178.7540834845735, 325.7885662431942, 325.7885662431942], [153.75226860254085, 150.77586206896552, 179.34936479128856, 182.3257713248639], [149.5852994555354, 147.79945553539022, 177.5635208711434, 178.7540834845735], [178.7540834845735, 179.34936479128856, 150.77586206896552, 149.5852994555354]]}",closed2,FALSE,0,"(0, 1800)",0.269850083,0.662409772,0,0,0.086063298,1621.040484,149.9539606
35,2,SEFL10K6_EPM2_35_2023-05-27 12-09-30.mkv,98,TRUE,0.5,40,1050,"{'xs': [[142.07338551859098, 175.8894324853229, 179.0205479452055, 145.8307240704501], [145.8307240704501, 179.0205479452055, 179.646771037182, 150.2142857142857], [1.7994129158512728, 145.8307240704501, 145.8307240704501, 1.1731898238747562], [179.0205479452055, 317.4158512720157, 318.0420743639922, 179.0205479452055], [179.0205479452055, 145.8307240704501, 145.8307240704501, 179.0205479452055]], 'ys': [[1.9555353901996517, 1.3602540834845884, 149.5852994555354, 150.77586206896552], [179.34936479128856, 178.7540834845735, 325.7885662431942, 325.7885662431942], [153.75226860254085, 150.77586206896552, 179.34936479128856, 182.3257713248639], [149.5852994555354, 147.79945553539022, 177.5635208711434, 178.7540834845735], [178.7540834845735, 179.34936479128856, 150.77586206896552, 149.5852994555354]]}",closed2,FALSE,1,"(1800, 3600)",0,1,0,0,0,477.2953488,44.15209159
35,2,SEFL10K6_EPM2_35_2023-05-27 12-09-30.mkv,98,TRUE,0.5,40,1050,"{'xs': [[142.07338551859098, 175.8894324853229, 179.0205479452055, 145.8307240704501], [145.8307240704501, 179.0205479452055, 179.646771037182, 150.2142857142857], [1.7994129158512728, 145.8307240704501, 145.8307240704501, 1.1731898238747562], [179.0205479452055, 317.4158512720157, 318.0420743639922, 179.0205479452055], [179.0205479452055, 145.8307240704501, 145.8307240704501, 179.0205479452055]], 'ys': [[1.9555353901996517, 1.3602540834845884, 149.5852994555354, 150.77586206896552], [179.34936479128856, 178.7540834845735, 325.7885662431942, 325.7885662431942], [153.75226860254085, 150.77586206896552, 179.34936479128856, 182.3257713248639], [149.5852994555354, 147.79945553539022, 177.5635208711434, 178.7540834845735], [178.7540834845735, 179.34936479128856, 150.77586206896552, 149.5852994555354]]}",closed2_ctr,TRUE,2,"(3600, 5400)",0.029428096,0.917268184,0,0,0.054414214,564.8761446,52.25373207
35,2,SEFL10K6_EPM2_35_2023-05-27 12-09-30.mkv,98,TRUE,0.5,40,1050,"{'xs': [[142.07338551859098, 175.8894324853229, 179.0205479452055, 145.8307240704501], [145.8307240704501, 179.0205479452055, 179.646771037182, 150.2142857142857], [1.7994129158512728, 145.8307240704501, 145.8307240704501, 1.1731898238747562], [179.0205479452055, 317.4158512720157, 318.0420743639922, 179.0205479452055], [179.0205479452055, 145.8307240704501, 145.8307240704501, 179.0205479452055]], 'ys': [[1.9555353901996517, 1.3602540834845884, 149.5852994555354, 150.77586206896552], [179.34936479128856, 178.7540834845735, 325.7885662431942, 325.7885662431942], [153.75226860254085, 150.77586206896552, 179.34936479128856, 182.3257713248639], [149.5852994555354, 147.79945553539022, 177.5635208711434, 178.7540834845735], [178.7540834845735, 179.34936479128856, 150.77586206896552, 149.5852994555354]]}",closed2_ctr,FALSE,3,"(5400, 7200)",0.425319267,0.299833426,0,0.142698501,0.148250972,1421.271077,131.4743396
35,2,SEFL10K6_EPM2_35_2023-05-27 12-09-30.mkv,98,TRUE,0.5,40,1050,"{'xs': [[142.07338551859098, 175.8894324853229, 179.0205479452055, 145.8307240704501], [145.8307240704501, 179.0205479452055, 179.646771037182, 150.2142857142857], [1.7994129158512728, 145.8307240704501, 145.8307240704501, 1.1731898238747562], [179.0205479452055, 317.4158512720157, 318.0420743639922, 179.0205479452055], [179.0205479452055, 145.8307240704501, 145.8307240704501, 179.0205479452055]], 'ys': [[1.9555353901996517, 1.3602540834845884, 149.5852994555354, 150.77586206896552], [179.34936479128856, 178.7540834845735, 325.7885662431942, 325.7885662431942], [153.75226860254085, 150.77586206896552, 179.34936479128856, 182.3257713248639], [149.5852994555354, 147.79945553539022, 177.5635208711434, 178.7540834845735], [178.7540834845735, 179.34936479128856, 150.77586206896552, 149.5852994555354]]}",ctr,TRUE,4,"(7200, 9000)",0.170673077,0.405649038,0.057692308,0.173677885,0.201322115,1192.321954,110.2954559
36,1,SEFL10K6_EPM1_36_2023-05-25 12-50-21.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,0,"(0, 1800)",0.139367018,0.39811216,0.142698501,0.174347585,0.156024431,2378.645553,223.9027914
36,1,SEFL10K6_EPM1_36_2023-05-25 12-50-21.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,1,"(1800, 3600)",0.372570794,0.406440866,0.014991671,0,0.226540811,1611.655489,151.7057311
36,1,SEFL10K6_EPM1_36_2023-05-25 12-50-21.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,2,"(3600, 5400)",0.254303165,0.44752915,0.09328151,0.031093837,0.189339256,1157.926175,108.9960219
36,1,SEFL10K6_EPM1_36_2023-05-25 12-50-21.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,3,"(5400, 7200)",0,0.962798445,0,0,0.042198778,731.2414897,68.83203365
36,1,SEFL10K6_EPM1_36_2023-05-25 12-50-21.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,4,"(7200, 9000)",0.329319687,0.429259482,0.021071644,0.057194461,0.192655027,952.7605673,89.68370689
36,2,SEFL10K6_EPM2_36_2023-05-27 12-15-51.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.99262395251398, 182.58200942737432, 184.39765188547486, 149.90044518156424], [148.99262395251398, 183.48983065642457, 182.58200942737432, 147.1769814944134], [5.556869762569829, 149.90044518156424, 148.99262395251398, 2.8334060754189916], [184.39765188547486, 320.57083624301674, 322.3864787011173, 183.48983065642457], [183.48983065642457, 148.99262395251398, 149.90044518156424, 184.39765188547486]], 'ys': [[1.9286120129869988, 2.777962662337648, 153.96237824675325, 153.96237824675325], [181.14159902597402, 181.14159902597402, 324.68185876623374, 322.98315746753246], [150.56497564935063, 153.96237824675325, 181.14159902597402, 181.14159902597402], [153.96237824675325, 151.4143262987013, 182.84030032467533, 181.14159902597402], [181.14159902597402, 181.14159902597402, 153.96237824675325, 153.96237824675325]]}",closed2,FALSE,0,"(0, 1800)",0,0.840644087,0,0,0.161021655,763.2871099,71.25194512
36,2,SEFL10K6_EPM2_36_2023-05-27 12-15-51.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.99262395251398, 182.58200942737432, 184.39765188547486, 149.90044518156424], [148.99262395251398, 183.48983065642457, 182.58200942737432, 147.1769814944134], [5.556869762569829, 149.90044518156424, 148.99262395251398, 2.8334060754189916], [184.39765188547486, 320.57083624301674, 322.3864787011173, 183.48983065642457], [183.48983065642457, 148.99262395251398, 149.90044518156424, 184.39765188547486]], 'ys': [[1.9286120129869988, 2.777962662337648, 153.96237824675325, 153.96237824675325], [181.14159902597402, 181.14159902597402, 324.68185876623374, 322.98315746753246], [150.56497564935063, 153.96237824675325, 181.14159902597402, 181.14159902597402], [153.96237824675325, 151.4143262987013, 182.84030032467533, 181.14159902597402], [181.14159902597402, 181.14159902597402, 153.96237824675325, 153.96237824675325]]}",closed2,FALSE,1,"(1800, 3600)",0,1,0,0,0,636.388946,59.40615225
36,2,SEFL10K6_EPM2_36_2023-05-27 12-15-51.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.99262395251398, 182.58200942737432, 184.39765188547486, 149.90044518156424], [148.99262395251398, 183.48983065642457, 182.58200942737432, 147.1769814944134], [5.556869762569829, 149.90044518156424, 148.99262395251398, 2.8334060754189916], [184.39765188547486, 320.57083624301674, 322.3864787011173, 183.48983065642457], [183.48983065642457, 148.99262395251398, 149.90044518156424, 184.39765188547486]], 'ys': [[1.9286120129869988, 2.777962662337648, 153.96237824675325, 153.96237824675325], [181.14159902597402, 181.14159902597402, 324.68185876623374, 322.98315746753246], [150.56497564935063, 153.96237824675325, 181.14159902597402, 181.14159902597402], [153.96237824675325, 151.4143262987013, 182.84030032467533, 181.14159902597402], [181.14159902597402, 181.14159902597402, 153.96237824675325, 153.96237824675325]]}",closed2,FALSE,2,"(3600, 5400)",0,1,0,0,0,726.7302406,67.83940479
36,2,SEFL10K6_EPM2_36_2023-05-27 12-15-51.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.99262395251398, 182.58200942737432, 184.39765188547486, 149.90044518156424], [148.99262395251398, 183.48983065642457, 182.58200942737432, 147.1769814944134], [5.556869762569829, 149.90044518156424, 148.99262395251398, 2.8334060754189916], [184.39765188547486, 320.57083624301674, 322.3864787011173, 183.48983065642457], [183.48983065642457, 148.99262395251398, 149.90044518156424, 184.39765188547486]], 'ys': [[1.9286120129869988, 2.777962662337648, 153.96237824675325, 153.96237824675325], [181.14159902597402, 181.14159902597402, 324.68185876623374, 322.98315746753246], [150.56497564935063, 153.96237824675325, 181.14159902597402, 181.14159902597402], [153.96237824675325, 151.4143262987013, 182.84030032467533, 181.14159902597402], [181.14159902597402, 181.14159902597402, 153.96237824675325, 153.96237824675325]]}",closed2,FALSE,3,"(5400, 7200)",0,1,0,0,0,593.6242414,55.41411786
36,2,SEFL10K6_EPM2_36_2023-05-27 12-15-51.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.99262395251398, 182.58200942737432, 184.39765188547486, 149.90044518156424], [148.99262395251398, 183.48983065642457, 182.58200942737432, 147.1769814944134], [5.556869762569829, 149.90044518156424, 148.99262395251398, 2.8334060754189916], [184.39765188547486, 320.57083624301674, 322.3864787011173, 183.48983065642457], [183.48983065642457, 148.99262395251398, 149.90044518156424, 184.39765188547486]], 'ys': [[1.9286120129869988, 2.777962662337648, 153.96237824675325, 153.96237824675325], [181.14159902597402, 181.14159902597402, 324.68185876623374, 322.98315746753246], [150.56497564935063, 153.96237824675325, 181.14159902597402, 181.14159902597402], [153.96237824675325, 151.4143262987013, 182.84030032467533, 181.14159902597402], [181.14159902597402, 181.14159902597402, 153.96237824675325, 153.96237824675325]]}",closed2,FALSE,4,"(7200, 9000)",0,1,0,0,0,514.9666317,48.07152342
37,1,SEFL10K6_EPM1_37_2023-05-25 12-57-16.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,0,"(0, 1800)",0.010549695,0.604108828,0.121599112,0.149361466,0.12770683,1687.898994,158.8825606
37,1,SEFL10K6_EPM1_37_2023-05-25 12-57-16.mkv,98,TRUE,0.5,40,1050,"{'xs': [[146.0003612716763, 178.46278901734104, 180.95989884393063, 149.7460260115607], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.99458092485548], [3.6651011560693654, 149.7460260115607, 147.87319364161849, 2.416546242774568], [180.95989884393063, 320.798049132948, 321.4223265895954, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.7460260115607, 180.95989884393063]], 'ys': [[1.8466636197440858, 1.8466636197440858, 150.84117915904937, 150.24520109689215], [178.85214808043878, 178.25617001828155, 324.27079524680073, 323.67481718464353], [152.62911334552103, 150.24520109689215, 178.85214808043878, 178.85214808043878], [150.84117915904937, 147.86128884826329, 177.06421389396712, 178.25617001828155], [178.25617001828155, 178.85214808043878, 150.24520109689215, 150.84117915904937]]}",closed1,FALSE,1,"(1800, 3600)",0.285952249,0.34092171,0.27429206,0.001110494,0.109938923,2050.215067,192.9875075
